FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202307,29,0,49378,1108090,"D","07/29/2023 00:00:00",75,"M","Permanent Home",202307
202307,29,0,49359,1108167,"D","07/29/2023 00:00:00",44,"M","Permanent Home",202307
202307,27,0,49455,1109732,"D","07/27/2023 00:00:00",53,"F","Permanent Home",202307
202307,28,0,50209,1128929,"D","07/28/2023 00:00:00",52,"F","Permanent Home",202307
202307,28,0,50230,1131465,"D","07/28/2023 00:00:00",7,"M","In Water",202307
202307,24,0,49305,1104617,"D","07/24/2023 00:00:00",48,"F","In Water",202307
202307,1,0,49307,1106092,"D","07/01/2023 00:00:00",58,"M","In Water",202307
202307,1,0,49347,1106242,"D","07/01/2023 00:00:00",42,"M","In Water",202307
202307,4,0,49348,1106313,"D","07/04/2023 00:00:00",,"","In Water",202307
202307,19,0,49358,1107915,"D","07/19/2023 00:00:00",1,"F","Vehicle/Towed Trailer",202307
202308,19,0,50810,1138765,"D","08/19/2023 00:00:00",59,"M","Outside/Open Areas",202308
202308,23,0,50811,1138765,"D","08/23/2023 00:00:00",84,"M","Permanent Home",202308
202308,27,0,50812,1138765,"D","08/27/2023 00:00:00",75,"F","Permanent Home",202308
202311,25,0,51141,1141938,"D","11/25/2023 00:00:00",5,"F","In Water",202311
202308,6,0,50285,1131643,"D","08/06/2023 00:00:00",22,"M","Vehicle/Towed Trailer",202308
202308,6,0,50286,1131643,"D","08/06/2023 00:00:00",58,"F","Vehicle/Towed Trailer",202308
202308,30,0,50344,1131871,"D","08/30/2023 00:00:00",,"","Unknown",202308
202308,19,0,50212,1127151,"D","08/19/2023 00:00:00",1,"F","Vehicle/Towed Trailer",202308
202308,30,0,49467,1119067,"D","08/30/2023 00:00:00",60,"M","In Water",202308
202308,24,0,49836,1125049,"D","08/24/2023 00:00:00",21,"F","Outside/Open Areas",202308
202308,24,0,49837,1125049,"D","08/24/2023 00:00:00",3,"F","Outside/Open Areas",202308
202308,24,0,49838,1125049,"D","08/24/2023 00:00:00",1,"F","Outside/Open Areas",202308
202308,24,0,49847,1125057,"D","08/24/2023 00:00:00",84,"F","Unknown",202308
202308,25,0,49848,1125057,"I","08/25/2023 00:00:00",,"","Outside/Open Areas",202308
202308,31,0,50305,1125089,"D","08/31/2023 00:00:00",,"","Unknown",202308
202308,24,0,50304,1125089,"D","08/24/2023 00:00:00",40,"M","Vehicle/Towed Trailer",202308
202308,8,0,49351,1107138,"D","08/08/2023 00:00:00",0,"M","Vehicle/Towed Trailer",202308
202308,15,0,49395,1112742,"D","08/15/2023 00:00:00",19,"M","In Water",202308
202308,30,0,49459,1117366,"D","08/30/2023 00:00:00",21,"M","In Water",202308
202308,1,0,50706,1138681,"D","08/01/2023 00:00:00",72,"M","Permanent Home",202308
