FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202401,19,0,52287,1148559,"I","01/19/2024 00:00:00",73,"M","Vehicle/Towed Trailer",202401
202401,6,0,51453,1146810,"I","01/06/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,6,0,51454,1146810,"I","01/06/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,7,0,51474,1147396,"D","01/07/2024 00:00:00",39,"M","Vehicle/Towed Trailer",202401
202401,8,0,51497,1147446,"I","01/08/2024 00:00:00",71,"M","Vehicle/Towed Trailer",202401
202401,18,0,52065,1148092,"I","01/18/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,15,0,52298,1148123,"I","01/15/2024 00:00:00",66,"M","Outside/Open Areas",202401
202401,15,0,51788,1148130,"I","01/15/2024 00:00:00",65,"M","Vehicle/Towed Trailer",202401
202401,17,0,51815,1148303,"I","01/17/2024 00:00:00",25,"M","Mobile/Trailer Home",202401
202401,22,0,52305,1148561,"D","01/22/2024 00:00:00",67,"M","Outside/Open Areas",202401
202401,16,0,51840,1148657,"I","01/16/2024 00:00:00",41,"M","Outside/Open Areas",202401
202401,12,0,52280,1149860,"I","01/12/2024 00:00:00",44,"M","Outside/Open Areas",202401
202401,12,0,52004,1150260,"D","01/12/2024 00:00:00",64,"M","Outside/Open Areas",202401
202401,13,0,52005,1150260,"D","01/13/2024 00:00:00",69,"M","Outside/Open Areas",202401
202401,15,0,52006,1150260,"D","01/15/2024 00:00:00",40,"M","Outside/Open Areas",202401
202401,15,0,52007,1150260,"D","01/15/2024 00:00:00",49,"F","Outside/Open Areas",202401
202401,9,0,52285,1150318,"D","01/09/2024 00:00:00",81,"F","Mobile/Trailer Home",202401
202401,9,0,52021,1150326,"D","01/09/2024 00:00:00",68,"M","Vehicle/Towed Trailer",202401
202401,29,0,52066,1150332,"I","01/29/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,29,0,52067,1150332,"I","01/29/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,14,0,52282,1150495,"D","01/14/2024 00:00:00",41,"F","Outside/Open Areas",202401
202401,16,0,52283,1150498,"D","01/16/2024 00:00:00",59,"M","Outside/Open Areas",202401
202401,6,0,52415,1150637,"I","01/06/2024 00:00:00",26,"F","Vehicle/Towed Trailer",202401
202401,13,0,52192,1152314,"D","01/13/2024 00:00:00",68,"M","Mobile/Trailer Home",202401
202401,16,0,52323,1152536,"D","01/16/2024 00:00:00",,"","Unknown",202401
202401,16,0,52274,1155055,"D","01/16/2024 00:00:00",85,"F","Outside/Open Areas",202401
202401,20,0,52276,1155059,"D","01/20/2024 00:00:00",18,"M","Outside/Open Areas",202401
202401,23,0,52277,1155060,"D","01/23/2024 00:00:00",59,"M","Outside/Open Areas",202401
202401,30,0,52290,1156940,"I","01/30/2024 00:00:00",54,"F","Vehicle/Towed Trailer",202401
202401,30,0,52289,1157059,"I","01/30/2024 00:00:00",54,"F","Vehicle/Towed Trailer",202401
202401,30,0,52293,1157060,"I","01/30/2024 00:00:00",54,"F","Vehicle/Towed Trailer",202401
202401,15,0,52297,1157344,"D","01/15/2024 00:00:00",67,"M","Outside/Open Areas",202401
202401,17,0,52295,1157346,"D","01/17/2024 00:00:00",58,"F","Vehicle/Towed Trailer",202401
202401,11,0,52381,1157574,"D","01/11/2024 00:00:00",27,"M","Under Tree",202401
202401,14,0,52304,1157593,"I","01/14/2024 00:00:00",44,"F","Unknown",202401
202401,14,0,52308,1157613,"I","01/14/2024 00:00:00",70,"M","Vehicle/Towed Trailer",202401
202401,17,0,52306,1157682,"D","01/17/2024 00:00:00",64,"M","Outside/Open Areas",202401
202401,17,0,52371,1157685,"D","01/17/2024 00:00:00",68,"F","Permanent Home",202401
202401,17,0,52408,1157687,"D","01/17/2024 00:00:00",58,"M","Permanent Home",202401
202401,14,0,52318,1158056,"D","01/14/2024 00:00:00",41,"M","Outside/Open Areas",202401
202401,20,0,52395,1158176,"I","01/20/2024 00:00:00",73,"F","Unknown",202401
202401,21,0,52396,1158176,"I","01/21/2024 00:00:00",69,"F","Vehicle/Towed Trailer",202401
202401,22,0,52379,1158231,"D","01/22/2024 00:00:00",8,"M","In Water",202401
202401,9,0,52324,1158257,"D","01/09/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,14,0,52389,1158345,"I","01/14/2024 00:00:00",,"","Unknown",202401
202401,15,0,52382,1158525,"I","01/15/2024 00:00:00",,"","Unknown",202401
202401,15,0,52383,1158525,"I","01/15/2024 00:00:00",,"","Unknown",202401
202401,24,0,52370,1158643,"I","01/24/2024 00:00:00",83,"F","Vehicle/Towed Trailer",202401
202401,16,0,52400,1159005,"D","01/16/2024 00:00:00",73,"F","Permanent Home",202401
202401,9,0,52372,1159053,"D","01/09/2024 00:00:00",39,"M","Mobile/Trailer Home",202401
202401,15,0,52390,1159226,"I","01/15/2024 00:00:00",,"","Unknown",202401
202401,15,0,52376,1159277,"D","01/15/2024 00:00:00",29,"M","Vehicle/Towed Trailer",202401
202401,15,0,52377,1159310,"D","01/15/2024 00:00:00",89,"M","Under Tree",202401
202401,15,0,52384,1159571,"I","01/15/2024 00:00:00",,"","Unknown",202401
202401,15,0,52385,1159571,"I","01/15/2024 00:00:00",,"","Unknown",202401
202401,15,0,52387,1159650,"I","01/15/2024 00:00:00",72,"M","Vehicle/Towed Trailer",202401
202401,15,0,52388,1159650,"I","01/15/2024 00:00:00",52,"M","Vehicle/Towed Trailer",202401
202401,15,0,52392,1159655,"D","01/15/2024 00:00:00",73,"F","Outside/Open Areas",202401
202401,15,0,52394,1159655,"D","01/15/2024 00:00:00",71,"F","Permanent Home",202401
202401,15,0,52391,1159655,"I","01/15/2024 00:00:00",50,"M","Vehicle/Towed Trailer",202401
202401,15,0,52393,1159655,"I","01/15/2024 00:00:00",,"","Vehicle/Towed Trailer",202401
202401,11,0,52397,1159657,"D","01/11/2024 00:00:00",33,"M","Outside/Open Areas",202401
202401,24,0,52401,1160124,"D","01/24/2024 00:00:00",74,"M","In Water",202401
202401,16,0,52403,1160372,"D","01/16/2024 00:00:00",37,"M","Unknown",202401
202401,16,0,52404,1160372,"D","01/16/2024 00:00:00",67,"M","Unknown",202401
202401,16,0,52405,1160372,"D","01/16/2024 00:00:00",63,"M","Unknown",202401
202401,16,0,52406,1160372,"D","01/16/2024 00:00:00",67,"","Unknown",202401
202401,16,0,52407,1160372,"D","01/16/2024 00:00:00",53,"M","Unknown",202401
