YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202401,186914,1152995,1,1.9,"NNE","NASONS",38.2948,-78.0146,3817688,78876
202401,186914,1152995,2,1.87,"N","NASONS",38.2969,-78.0255,3817814,781530
202401,186914,1152995,3,1.64,"N","NASONS",38.2937,-78.0274,3817622,781644
202401,186914,1152995,4,1.7,"NNE","NASONS",38.2921,-78.0163,3817526,78978
202401,186914,1152997,1,.1,"E","LAHORE",38.2002,-77.9683,3812012,7758098
202401,186914,1152997,2,.69,"WNW","LAHORE",38.2046,-77.9813,3812276,7758878
202401,186914,1152997,3,.73,"W","LAHORE",38.1992,-77.9835,3811952,7759010
202401,186914,1152997,4,.32,"SE","LAHORE",38.1962,-77.9667,3811772,7758002
202401,186914,1153006,1,2.23,"W","LAKOTA",38.5817,-77.9112,3834902,7754672
202401,186914,1153006,2,2.65,"W","LAKOTA",38.5821,-77.9191,3834926,7755146
202401,186914,1153006,3,2.65,"E","RIXEYVILLE",38.5761,-77.9212,3834566,7755272
202401,186914,1153006,4,2.31,"W","LAKOTA",38.5753,-77.9124,3834518,7754744
202401,186914,1153008,1,2.69,"WSW","RACCOON FORD",38.3528,-77.9744,3821168,7758464
202401,186914,1153008,2,1.18,"E","BUENA",38.3502,-78.0081,3821012,78486
202401,186914,1153008,3,1.86,"SE","BUENA",38.3331,-78.0032,3819986,78192
202401,186914,1153008,4,2.94,"SW","RACCOON FORD",38.3404,-77.9688,3820424,7758128
202401,186914,1153009,1,.88,"SW","BROAD RUN",38.82,-77.73,3849200,7743800
202401,186914,1153009,2,.93,"SW","BROAD RUN",38.8212,-77.7331,3849272,7743986
202401,186914,1153009,3,1.03,"SW","BROAD RUN",38.8195,-77.7336,3849170,7744016
202401,186914,1153009,4,1.04,"SSW","BROAD RUN",38.8173,-77.7303,3849038,7743818
202401,186914,1153010,1,3.14,"NE","AUBURN",38.7294,-77.6556,3843764,7739336
202401,186914,1153010,2,3.06,"NE","AUBURN",38.7328,-77.6619,3843968,7739714
202401,186914,1153010,3,2.24,"NE","AUBURN",38.7185,-77.6659,3843110,7739954
202401,186914,1153010,4,2.62,"ENE","AUBURN",38.7176,-77.6569,3843056,7739414
202401,186914,1153011,1,2.16,"ESE","NEW BALTIMORE",38.7534,-77.686,3845204,7741160
202401,186914,1153011,2,1.99,"SE","NEW BALTIMORE",38.7522,-77.6909,3845132,7741454
202401,186914,1153011,3,2.23,"SE","NEW BALTIMORE",38.7477,-77.69,3844862,7741400
202401,186914,1153011,4,2.39,"SE","NEW BALTIMORE",38.7463,-77.6877,3844778,7741262
202401,186914,1153012,1,3.26,"E","STANDARDSVILLE",38.2929,-78.3705,3817574,7822230
202401,186914,1153012,2,3.01,"E","STANDARDSVILLE",38.2946,-78.3748,3817676,7822488
202401,186914,1153012,3,3.06,"NNE","QUINQUE",38.2897,-78.3748,3817382,7822488
202401,186914,1153012,4,3.18,"NNE","QUINQUE",38.2899,-78.3708,3817394,7822248
202401,186914,1153014,1,1.29,"ENE","STANDARDSVILLE",38.3102,-78.41,3818612,7824600
202401,186914,1153014,2,.97,"NNE","STANDARDSVILLE",38.3134,-78.4246,3818804,7825476
202401,186914,1153014,3,.75,"NNE","STANDARDSVILLE",38.3102,-78.4256,3818612,7825536
202401,186914,1153014,4,.88,"ENE","STANDARDSVILLE",38.3068,-78.4163,3818408,7824978
202401,186914,1153015,1,0,"N","LYDIA",38.33,-78.5,3819800,7830000
202401,186914,1153015,2,.51,"E","LYDIA",38.331,-78.4907,3819860,7829442
202401,186914,1153015,3,.84,"ESE","LYDIA",38.3233,-78.4871,3819398,7829226
202401,186914,1153015,4,.42,"SSW","LYDIA",38.3242,-78.5021,3819452,7830126
202401,186914,1153021,1,2.34,"NNW","STANDARDSVILLE",38.33,-78.45,3819800,7827000
202401,186914,1153021,2,2.56,"NNW","STANDARDSVILLE",38.3343,-78.4479,3820058,7826874
202401,186914,1153021,3,2.39,"NNW","STANDARDSVILLE",38.3323,-78.4458,3819938,7826748
202401,186914,1153021,4,2.22,"NNW","STANDARDSVILLE",38.3293,-78.4469,3819758,7826814
202401,186914,1153022,1,1.6,"SSE","RUCKERSVILLE",38.2091,-78.3573,3812546,7821438
202401,186914,1153022,2,1.44,"SSE","RUCKERSVILLE",38.2102,-78.3615,3812612,7821690
202401,186914,1153022,3,1.64,"SSE","RUCKERSVILLE",38.2069,-78.363,3812414,7821780
202401,186914,1153022,4,1.72,"SSE","RUCKERSVILLE",38.2065,-78.3595,3812390,7821570
202401,186914,1153024,1,.64,"NNW","DYKE",38.2581,-78.5358,3815486,7832148
202401,186914,1153024,2,.94,"NW","DYKE",38.2595,-78.5423,3815570,7832538
202401,186914,1153024,3,.74,"WNW","DYKE",38.2547,-78.5423,3815282,7832538
202401,186914,1153024,4,.46,"WNW","DYKE",38.2532,-78.5374,3815192,7832244
202401,186914,1153025,1,2.88,"NNE","QUINQUE",38.2858,-78.373,3817148,7822380
202401,186914,1153025,2,2.77,"NNE","QUINQUE",38.2867,-78.3795,3817202,7822770
202401,186914,1153025,3,2.55,"NNE","QUINQUE",38.2828,-78.3787,3816968,7822722
202401,186914,1153025,4,2.67,"NNE","QUINQUE",38.2828,-78.374,3816968,7822440
202401,186914,1153027,1,1,"NNE","STANDARDSVILLE",38.3139,-78.425,3818834,7825500
202401,186914,1153027,2,1.16,"N","STANDARDSVILLE",38.3167,-78.4292,3819002,7825752
202401,186914,1153027,3,1,"N","STANDARDSVILLE",38.3144,-78.4317,3818864,7825902
202401,186914,1153027,4,.73,"N","STANDARDSVILLE",38.3105,-78.4286,3818630,7825716
202401,186914,1153029,1,.54,"W","BRENTSVILLE",38.68,-77.51,3840800,7730600
202401,186914,1153029,2,.36,"W","BRENTSVILLE",38.6791,-77.5067,3840746,7730402
202401,186914,1153029,3,.57,"SW","BRENTSVILLE",38.6739,-77.5072,3840434,7730432
202401,186914,1153029,4,.71,"WSW","BRENTSVILLE",38.6743,-77.511,3840458,7730660
202401,186915,1148439,1,.05,"SE","JOHNSONS MILL",39.5696,-78.1993,3934176,7811958
202401,186915,1148439,2,.08,"W","JOHNSONS MILL",39.5701,-78.2016,3934206,7812096
202401,186915,1148439,3,.14,"SW","JOHNSONS MILL",39.5684,-78.2015,3934104,7812090
202401,186915,1148439,4,.14,"SE","JOHNSONS MILL",39.5683,-78.1986,3934098,7811916
202401,186915,1148440,1,2.98,"SSW","GREAT CACAPON",39.5827,-78.308,3934962,7818480
202401,186915,1148440,2,3.03,"SSW","GREAT CACAPON",39.5832,-78.311,3934992,7818660
